k,p,pass
8,1.0,False
3,1.0,False
2,0.995,False
2,0.815,False
9,0.92,False
7,0.0,True
2,0.0,True
10,1.0,False
6,0.0,True
2,0.0,True
8,1.0,False
2,0.0,True
5,1.0,False
9,1.0,False
2,0.0,True
2,0.96,False
10,0.005,True
6,0.985,False
2,0.0,True
9,0.99,False
3,1.0,False
2,1.0,False
7,0.0,True
2,0.885,False
2,0.0,True
9,1.0,False
9,0.0,True
2,0.925,False
2,0.965,False
3,0.0,True
2,0.89,False
4,1.0,False
5,0.985,False
3,1.0,False
2,0.0,True
2,0.005,True
8,0.755,False
5,0.0,True
2,0.19,False
2,0.155,False
2,0.0,True
4,0.365,False
2,0.0,True
4,0.0,True
10,1.0,False
10,0.0,True
2,1.0,False
2,0.195,False
7,0.0,True
2,0.0,True
3,0.89,False
9,0.995,False
2,0.0,True
3,0.0,True
3,0.0,True
2,0.0,True
2,0.98,False
3,1.0,False
2,0.0,True
2,0.995,False
2,0.085,False
10,0.0,True
2,0.0,True
2,0.98,False
2,0.945,False
2,0.0,True
2,0.0,True
2,1.0,False
4,0.0,True
7,0.0,True
8,0.0,True
2,1.0,False
2,0.0,True
5,0.0,True
9,0.005,True
5,1.0,False
2,0.95,False
2,1.0,False
2,0.93,False
2,0.0,True
9,0.0,True
10,1.0,False
3,0.77,False
2,0.0,True
2,0.0,True
2,1.0,False
8,0.995,False
5,0.005,True
3,0.0,True
3,0.635,False
2,0.0,True
10,0.0,True
7,1.0,False
2,0.0,True
6,0.0,True
2,1.0,False
4,0.985,False
2,0.97,False
2,0.88,False
3,0.0,True
6,1.0,False
9,0.985,False
2,0.07,False
2,0.0,True
10,0.775,False
2,0.095,False
2,0.0,True
6,0.0,True
2,1.0,False
2,0.91,False
2,0.95,False
9,0.0,True
2,0.26,False
3,1.0,False
7,1.0,False
2,0.0,True
2,0.0,True
5,1.0,False
2,1.0,False
8,1.0,False
2,0.97,False
8,0.99,False
2,0.0,True
2,0.0,True
2,0.66,False
7,0.99,False
5,1.0,False
2,0.0,True
7,0.045,True
2,0.975,False
10,0.0,True
3,0.0,True
10,1.0,False
3,0.0,True
2,0.0,True
2,0.995,False
6,0.0,True
6,1.0,False
10,0.83,False
2,1.0,False
10,1.0,False
3,1.0,False
8,0.0,True
2,0.395,False
2,0.955,False
2,0.0,True
5,0.035,True
2,0.0,True
2,0.925,False
2,0.0,True
2,0.0,True
5,1.0,False
9,0.0,True
7,0.0,True
2,0.975,False
8,0.0,True
6,0.0,True
2,0.0,True
2,0.72,False
4,0.0,True
9,1.0,False
2,0.53,False
2,0.0,True
2,0.89,False
2,0.0,True
2,0.59,False
6,1.0,False
3,1.0,False
7,0.0,True
4,0.0,True
4,1.0,False
3,0.005,True
4,0.0,True
2,0.0,True
5,0.0,True
2,0.0,True
4,1.0,False
2,0.0,True
5,0.0,True
6,0.0,True
5,1.0,False
2,0.0,True
2,0.905,False
2,0.985,False
2,0.0,True
3,0.915,False
2,0.09,False
2,1.0,False
2,0.96,False
8,0.0,True
7,1.0,False
3,1.0,False
7,0.0,True
2,0.535,False
2,0.0,True
4,0.0,True
4,0.0,True
6,0.975,False
2,1.0,False
2,0.93,False
6,0.0,True
2,0.995,False
3,0.0,True
2,0.705,False
2,0.0,True
3,0.0,True
10,0.95,False
9,0.0,True
2,0.29,False
2,0.0,True
2,0.13,False
5,0.0,True
2,0.245,False
2,0.005,True
7,0.815,False
6,0.385,False
2,0.015,True
2,0.965,False
2,1.0,False
2,0.0,True
2,1.0,False
9,1.0,False
4,1.0,False
2,0.795,False
10,1.0,False
2,0.0,True
2,0.0,True
2,1.0,False
5,0.98,False
7,0.52,False
10,1.0,False
2,1.0,False
2,0.0,True
5,0.0,True
6,0.0,True
2,0.93,False
10,0.0,True
3,0.0,True
3,0.97,False
2,0.0,True
4,0.0,True
2,0.0,True
9,0.0,True
8,1.0,False
2,0.16,False
9,1.0,False
2,0.415,False
2,0.995,False
2,0.09,False
4,0.0,True
4,1.0,False
3,1.0,False
9,0.0,True
10,0.0,True
2,0.0,True
3,0.0,True
2,0.0,True
2,0.0,True
5,0.0,True
2,1.0,False
2,0.0,True
2,0.985,False
2,0.0,True
6,1.0,False
2,0.18,False
10,0.01,True
5,0.0,True
2,0.025,True
8,0.0,True
9,0.98,False
2,0.01,True
8,1.0,False
2,0.86,False
2,0.0,True
2,0.565,False
8,0.0,True
3,0.0,True
5,0.0,True
2,0.0,True
2,0.81,False
2,0.0,True
5,0.0,True
2,0.0,True
8,1.0,False
2,0.0,True
4,1.0,False
2,0.01,True
2,1.0,False
5,0.0,True
7,0.0,True
2,0.0,True
2,0.0,True
2,1.0,False
2,0.48,False
9,0.0,True
4,0.885,False
2,0.81,False
7,1.0,False
9,0.0,True
2,1.0,False
