k,p_clean,p_shuffled
2,0.0,0.995
2,0.0,1.0
2,0.0,1.0
2,0.0,1.0
5,0.0,1.0
4,0.0,1.0
3,0.0,0.945
6,0.0,1.0
5,0.0,1.0
2,0.0,1.0
3,0.0,1.0
2,0.0,0.99
3,0.0,1.0
3,0.0,0.93
2,0.0,1.0
2,0.0,0.98
4,0.0,1.0
8,0.0,1.0
2,0.0,0.76
2,0.0,0.955
9,0.0,1.0
2,0.0,1.0
2,0.0,1.0
2,0.005,0.99
2,0.0,0.995
8,0.0,0.995
2,0.0,0.995
2,0.0,1.0
8,0.0,1.0
10,0.0,1.0
9,0.0,1.0
5,0.0,1.0
10,0.0,0.985
4,0.0,0.98
6,0.0,1.0
2,0.005,0.865
2,0.01,1.0
2,0.0,0.95
2,0.0,0.81
6,0.0,1.0
3,0.0,0.99
6,0.0,1.0
2,0.0,0.585
2,0.0,1.0
2,0.0,1.0
5,0.0,1.0
2,0.045,0.995
6,0.0,1.0
9,0.0,0.99
9,0.0,0.99
2,0.0,1.0
7,0.0,1.0
2,0.0,0.995
2,0.0,0.98
2,0.0,1.0
2,0.0,0.995
2,0.0,1.0
3,0.0,1.0
7,0.0,1.0
2,0.0,1.0
